,amount,context_ref,decimals,element_id,unit_ref
106,109282000,Prior4YearInstant_NonConsolidatedMember,-3,jpcrp_cor_totalnumberofissuedsharessummaryofbusinessresults,shares
107,109282000,Prior3YearInstant_NonConsolidatedMember,-3,jpcrp_cor_totalnumberofissuedsharessummaryofbusinessresults,shares
108,109282000,Prior2YearInstant_NonConsolidatedMember,-3,jpcrp_cor_totalnumberofissuedsharessummaryofbusinessresults,shares
109,109282000,Prior1YearInstant_NonConsolidatedMember,-3,jpcrp_cor_totalnumberofissuedsharessummaryofbusinessresults,shares
110,109282000,CurrentYearInstant_NonConsolidatedMember,-3,jpcrp_cor_totalnumberofissuedsharessummaryofbusinessresults,shares
111,13857000000,Prior4YearInstant_NonConsolidatedMember,-6,jpcrp_cor_netassetssummaryofbusinessresults,JPY
112,13635000000,Prior3YearInstant_NonConsolidatedMember,-6,jpcrp_cor_netassetssummaryofbusinessresults,JPY
113,13822000000,Prior2YearInstant_NonConsolidatedMember,-6,jpcrp_cor_netassetssummaryofbusinessresults,JPY
114,14818000000,Prior1YearInstant_NonConsolidatedMember,-6,jpcrp_cor_netassetssummaryofbusinessresults,JPY
115,16164000000,CurrentYearInstant_NonConsolidatedMember,-6,jpcrp_cor_netassetssummaryofbusinessresults,JPY
116,51285000000,Prior4YearInstant_NonConsolidatedMember,-6,jpcrp_cor_totalassetssummaryofbusinessresults,JPY
117,62511000000,Prior3YearInstant_NonConsolidatedMember,-6,jpcrp_cor_totalassetssummaryofbusinessresults,JPY
118,71113000000,Prior2YearInstant_NonConsolidatedMember,-6,jpcrp_cor_totalassetssummaryofbusinessresults,JPY
119,70492000000,Prior1YearInstant_NonConsolidatedMember,-6,jpcrp_cor_totalassetssummaryofbusinessresults,JPY
120,70381000000,CurrentYearInstant_NonConsolidatedMember,-6,jpcrp_cor_totalassetssummaryofbusinessresults,JPY
121,130.96,Prior4YearInstant_NonConsolidatedMember,2,jpcrp_cor_netassetspersharesummaryofbusinessresults,JPYPerShares
122,129.82,Prior3YearInstant_NonConsolidatedMember,2,jpcrp_cor_netassetspersharesummaryofbusinessresults,JPYPerShares
123,131.60,Prior2YearInstant_NonConsolidatedMember,2,jpcrp_cor_netassetspersharesummaryofbusinessresults,JPYPerShares
124,141.08,Prior1YearInstant_NonConsolidatedMember,2,jpcrp_cor_netassetspersharesummaryofbusinessresults,JPYPerShares
125,153.90,CurrentYearInstant_NonConsolidatedMember,2,jpcrp_cor_netassetspersharesummaryofbusinessresults,JPYPerShares
126,5.00,Prior4YearDuration_NonConsolidatedMember,2,jpcrp_cor_dividendpaidpersharesummaryofbusinessresults,JPYPerShares
