,element_id,href,label_role,label_string,lang
10,jpcrp030000-asr_e00012-000_decreeasebymergerofsubsidiariesresultinginchangeinscopeofconsolidationinvcf,jpcrp030000-asr-001_E00012-000_2014-03-31_01_2014-06-24.xsd#jpcrp030000-asr_E00012-000_DecreeaseByMergerOfSubsidiariesResultingInChangeInScopeOfConsolidationInvCF,http://www.xbrl.org/2003/role/documentation,連結の範囲の変更を伴う子会社合併による減少、投資活動によるキャッシュ・フロー,ja
11,jpcrp030000-asr_e00012-000_descriptionoffactandreasonwhycomponentsofmajorassetsandliabilitiesarenotpresented,jpcrp030000-asr-001_E00012-000_2014-03-31_01_2014-06-24.xsd#jpcrp030000-asr_E00012-000_DescriptionOfFactAndReasonWhyComponentsOfMajorAssetsAndLiabilitiesAreNotPresented,http://www.xbrl.org/2003/role/label,主な資産及び負債の内容の記載を省略している旨及びその理由,ja
12,jpcrp030000-asr_e00012-000_descriptionoffactandreasonwhycomponentsofmajorassetsandliabilitiesarenotpresented,jpcrp030000-asr-001_E00012-000_2014-03-31_01_2014-06-24.xsd#jpcrp030000-asr_E00012-000_DescriptionOfFactAndReasonWhyComponentsOfMajorAssetsAndLiabilitiesAreNotPresented,http://www.xbrl.org/2003/role/verboseLabel,主な資産及び負債の内容の記載を省略している旨及びその理由,ja
13,jpcrp030000-asr_e00012-000_descriptionoffactandreasonwhynotesbusinesscombinationsarenotpresentedtextblock,jpcrp030000-asr-001_E00012-000_2014-03-31_01_2014-06-24.xsd#jpcrp030000-asr_E00012-000_DescriptionOfFactAndReasonWhyNotesBusinessCombinationsAreNotPresentedTextBlock,http://www.xbrl.org/2003/role/label,企業結合等関係の記載を省略している旨及びその理由,ja
14,jpcrp030000-asr_e00012-000_descriptionoffactandreasonwhynotesbusinesscombinationsarenotpresentedtextblock,jpcrp030000-asr-001_E00012-000_2014-03-31_01_2014-06-24.xsd#jpcrp030000-asr_E00012-000_DescriptionOfFactAndReasonWhyNotesBusinessCombinationsAreNotPresentedTextBlock,http://www.xbrl.org/2003/role/verboseLabel,企業結合等関係の記載を省略している旨及びその理由 [テキストブロック],ja
15,jpcrp030000-asr_e00012-000_descriptionoffactthatdisclosureisomittedbecausesameinformationisdisclosednotesderivativesconsolidatedfinancialstatementstextblock,jpcrp030000-asr-001_E00012-000_2014-03-31_01_2014-06-24.xsd#jpcrp030000-asr_E00012-000_DescriptionOfFactThatDisclosureIsOmittedBecauseSameInformationIsDisclosedNotesDerivativesConsolidatedFinancialStatementsTextBlock,http://www.xbrl.org/2003/role/label,同様の情報を開示しているため記載を省略している旨,ja
16,jpcrp030000-asr_e00012-000_descriptionoffactthatdisclosureisomittedbecausesameinformationisdisclosednotesderivativesconsolidatedfinancialstatementstextblock,jpcrp030000-asr-001_E00012-000_2014-03-31_01_2014-06-24.xsd#jpcrp030000-asr_E00012-000_DescriptionOfFactThatDisclosureIsOmittedBecauseSameInformationIsDisclosedNotesDerivativesConsolidatedFinancialStatementsTextBlock,http://www.xbrl.org/2003/role/verboseLabel,同様の情報を開示しているため記載を省略している旨、デリバティブ取引関係、連結財務諸表 [テキストブロック],ja
17,jpcrp030000-asr_e00012-000_descriptionoffactthatdisclosureisomittedduetolackofmaterialitynotesassetretirementobligationsconsolidatedfinancialstatementstextblock,jpcrp030000-asr-001_E00012-000_2014-03-31_01_2014-06-24.xsd#jpcrp030000-asr_E00012-000_DescriptionOfFactThatDisclosureIsOmittedDueToLackOfMaterialityNotesAssetRetirementObligationsConsolidatedFinancialStatementsTextBlock,http://www.xbrl.org/2003/role/label,重要性が乏しいため省略している旨,ja
18,jpcrp030000-asr_e00012-000_descriptionoffactthatdisclosureisomittedduetolackofmaterialitynotesassetretirementobligationsconsolidatedfinancialstatementstextblock,jpcrp030000-asr-001_E00012-000_2014-03-31_01_2014-06-24.xsd#jpcrp030000-asr_E00012-000_DescriptionOfFactThatDisclosureIsOmittedDueToLackOfMaterialityNotesAssetRetirementObligationsConsolidatedFinancialStatementsTextBlock,http://www.xbrl.org/2003/role/verboseLabel,重要性が乏しいため省略している旨、資産除去債務関係、連結財務諸表[テキストブロック],ja
19,jpcrp030000-asr_e00012-000_descriptionoffactthatdisclosureisomittedduetolackofmaterialitynotesrealestateforleaseetcconsolidatedfinancialstatementstextblock,jpcrp030000-asr-001_E00012-000_2014-03-31_01_2014-06-24.xsd#jpcrp030000-asr_E00012-000_DescriptionOfFactThatDisclosureIsOmittedDueToLackOfMaterialityNotesRealEstateForLeaseEtcConsolidatedFinancialStatementsTextBlock,http://www.xbrl.org/2003/role/label,重要性が乏しいため省略している旨,ja
